feature,importance
fp_844,-2.4470823369389844e-05
fp_14,-2.5817076495441665e-05
fp_401,-2.582649702176365e-05
fp_989,-2.592632475310423e-05
fp_713,-2.6260850096308335e-05
fp_46,-2.6990613534579506e-05
fp_13,-2.7139453548189845e-05
fp_300,-2.7795983872887693e-05
fp_163,-2.7866740280583595e-05
fp_591,-2.8847122560423284e-05
fp_777,-2.8884124515848875e-05
fp_418,-2.909265869754929e-05
fp_372,-2.9557381844883917e-05
fp_670,-2.96653568965984e-05
fp_715,-2.9996219994443685e-05
fp_25,-3.0316510816863484e-05
fp_794,-3.0385356691124226e-05
fp_322,-3.0488290387542527e-05
fp_720,-3.059775842451096e-05
fp_524,-3.060130209460906e-05
fp_568,-3.077242521979754e-05
fp_636,-3.111558264616102e-05
fp_668,-3.147963733981148e-05
fp_256,-3.178903412319004e-05
fp_948,-3.201144527916385e-05
fp_185,-3.282454767113604e-05
fp_954,-3.339898615613753e-05
fp_489,-3.456749715199011e-05
fp_143,-3.4603549112666165e-05
fp_582,-3.644444949335579e-05
fp_595,-3.7304058147058505e-05
fp_89,-3.760632235620213e-05
fp_763,-3.817993118467496e-05
fp_111,-3.888232122299199e-05
fp_655,-3.994516953742533e-05
fp_573,-4.0446585412801106e-05
fp_761,-4.114965467768202e-05
fp_858,-4.152935473955566e-05
fp_221,-4.166670006548282e-05
fp_391,-4.180037412511902e-05
fp_207,-4.207726203693992e-05
fp_580,-4.266585527383052e-05
fp_481,-4.279839061989884e-05
fp_516,-4.315122275274271e-05
fp_786,-4.328698968950976e-05
fp_52,-4.3422342279312666e-05
fp_142,-4.3604125177158316e-05
fp_465,-4.3809329584217536e-05
fp_901,-4.4421778391775156e-05
fp_520,-4.469781935515874e-05
fp_87,-4.4963801022331516e-05
fp_980,-4.507156544379202e-05
fp_0,-4.760017724077711e-05
fp_564,-4.82926928827195e-05
fp_329,-4.9044161813690167e-05
fp_36,-4.940234348212632e-05
fp_784,-5.073220375462206e-05
fp_187,-5.20231304654469e-05
fp_967,-5.321287095986597e-05
fp_702,-5.442327262816793e-05
fp_856,-5.4620044723600415e-05
fp_883,-5.520123423123172e-05
fp_112,-5.610055837812489e-05
fp_691,-5.708703197696933e-05
fp_54,-5.9939959916044394e-05
fp_439,-6.073474976771761e-05
fp_455,-6.532898091974697e-05
fp_507,-6.555517619607117e-05
fp_69,-6.564083059623638e-05
fp_58,-6.621032260889503e-05
fp_392,-6.657955052924436e-05
fp_679,-6.951486359474401e-05
fp_684,-6.987780967134445e-05
fp_987,-7.184197939569259e-05
fp_231,-7.230489011974169e-05
fp_689,-7.24616415109421e-05
fp_396,-7.390328038714422e-05
fp_798,-7.403936000246099e-05
fp_175,-7.405961136404866e-05
fp_556,-7.540331709421366e-05
fp_523,-7.589347652821783e-05
fp_214,-7.778912915275733e-05
fp_358,-7.857431397791566e-05
fp_420,-7.859737948641883e-05
fp_631,-7.994546360975037e-05
fp_796,-8.146401199308577e-05
fp_685,-8.243883927105955e-05
fp_816,-8.387285207989148e-05
fp_443,-8.412293387420149e-05
fp_968,-8.41262327846426e-05
fp_438,-8.487285035459664e-05
fp_154,-9.283192592975571e-05
fp_557,-9.306899920428584e-05
fp_1000,-9.318764630013761e-05
fp_64,-9.331428973680111e-05
fp_770,-9.498162859504038e-05
fp_999,-9.64145717339641e-05
fp_205,-9.721850274505932e-05
fp_742,-0.00010015967398813164
fp_964,-0.00010024734746572062
fp_114,-0.00010460230791020653
fp_421,-0.00011027937032811093
fp_985,-0.00011097907124664926
fp_576,-0.00011161887448514947
fp_659,-0.00011864045058555354
fp_252,-0.00012180256593411858
fp_994,-0.00012305506419407752
fp_119,-0.00012310498090154867
fp_275,-0.0001232469822646983
fp_407,-0.00012343783933917626
fp_892,-0.0001237396253280417
fp_292,-0.0001258385029907494
fp_354,-0.0001261218852018168
fp_755,-0.00012648411265658854
fp_200,-0.0001282280321306395
fp_957,-0.00012866346369733161
fp_835,-0.00013327867224854906
fp_958,-0.000133597172071546
fp_680,-0.00013445888439108286
fp_498,-0.00013480711360806344
fp_128,-0.00013572078877869634
fp_933,-0.00013857250398911317
fp_32,-0.00014200606975363814
fp_368,-0.00014596223047569357
fp_125,-0.00015070424001143815
fp_687,-0.00015486645249955058
fp_117,-0.00015636919856117557
fp_937,-0.00016123159929493092
fp_599,-0.00016311837834785217
fp_694,-0.0001676135597196149
fp_790,-0.00016882655778945507
fp_527,-0.00016897731338609093
fp_799,-0.0001735120680607105
fp_362,-0.0001749292584312112
fp_495,-0.0001843616058586628
fp_1014,-0.00018561918191558244
fp_72,-0.00019461517272697146
fp_831,-0.00019611284442766497
fp_479,-0.00019723708495567038
fp_662,-0.0001985397698805643
fp_952,-0.0002126082087181569
fp_295,-0.00022692821151363654
fp_102,-0.0002283554615856905
fp_441,-0.00024467651964166226
fp_29,-0.0002487053023313794
fp_695,-0.0002607974587757929
fp_48,-0.0002654813439202745
fp_408,-0.00026688895995397033
fp_857,-0.0002691898366686078
fp_454,-0.00029118200156663665
fp_294,-0.00029283089570915816
fp_596,-0.0002997730980729048
fp_757,-0.0003370836202623388
fp_487,-0.0003485733396989543
fp_749,-0.0003523529240441932
fp_360,-0.0003596029599580349
fp_272,-0.000362336814934916
fp_339,-0.0003669238206346348
fp_93,-0.0003739778845887424
fp_887,-0.00038437945988378797
fp_953,-0.00043228478687947397
fp_674,-0.000435020417085763
fp_173,-0.0004370194169849295
fp_319,-0.00044108391722719187
fp_939,-0.00047757569179281606
fp_832,-0.0005042199848568352
fp_739,-0.0005207691992069607
fp_854,-0.0005300949238838948
fp_896,-0.0005383131046995393
fp_592,-0.0005736810259622249
fp_243,-0.000644615057376193
fp_710,-0.0006528465931135244
fp_461,-0.0006617661185565801
fp_978,-0.0007439774797770212
fp_745,-0.0007644602683702928
fp_848,-0.0008617079772607061
fp_469,-0.0008711386898779446
fp_510,-0.0008893290692693808
fp_667,-0.0008909437353280166
fp_253,-0.0009194492780364069
fp_690,-0.0010794102573325286
fp_664,-0.0012565205139568603
fp_650,-0.0012676962323210732
fp_969,-0.0013121254404601101
fp_210,-0.0014807082213891265
fp_225,-0.001611755389036314
fp_707,-0.0016616206001954421
fp_59,-0.0019054063800090597
fp_634,-0.006925371256369865
